Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
2.94999E-4,27.256086867,0.281017462,0.075917797,0.181818182,0
2.9853E-4,27.523069763,0.283427801,0.075019952,0.181818182,0
3.00638E-4,27.76291963,0.284859131,0.074221868,0.181818182,0
3.01625E-4,28.003967195,0.285527509,0.073423783,0.181818182,0
3.0336E-4,28.276338995,0.286699029,0.072525938,0.181818182,0
3.05076E-4,28.519885956,0.28785386,0.071727853,0.181818182,0
3.07823E-4,28.765386754,0.289694942,0.070929769,0.181818182,0
3.0933E-4,29.012151265,0.290701144,0.070131684,0.181818182,0
3.11567E-4,29.260553665,0.292189259,0.069333599,0.181818182,0
3.15136E-4,29.511585271,0.294549993,0.068535515,0.181818182,0
3.19611E-4,29.765382213,0.297488221,0.06773743,0.189393939,0
3.21455E-4,30.022027999,0.298692484,0.066939346,0.189393939,0
3.24406E-4,30.280253623,0.300610118,0.066141261,0.189393939,0
3.26869E-4,30.508266016,0.302202872,0.065442937,0.204545455,0
3.30345E-4,30.77151645,0.304438169,0.064644852,0.204545455,0
3.32647E-4,31.003715635,0.3059104,0.063946528,0.212121212,0
3.35981E-4,31.272033197,0.308032217,0.063148444,0.212121212,0
3.42306E-4,31.510017535,0.3120215,0.06245012,0.212121212,0
3.4715E-4,31.751488314,0.315045585,0.061751796,0.21969697,0
3.52648E-4,32.031924001,0.318446519,0.060953711,0.234848485,0
3.55813E-4,32.280124544,0.32038882,0.060255387,0.234848485,0
3.57585E-4,32.529651228,0.321471254,0.059557063,0.242424242,0
3.60379E-4,32.781071674,0.323171633,0.058858739,0.242424242,0
3.61575E-4,33.033649041,0.323896717,0.058160415,0.25,0
3.62526E-4,33.251003809,0.324472294,0.057561852,0.257575758,0
3.65412E-4,33.505871222,0.326212394,0.056863528,0.257575758,0
3.67125E-4,33.762612867,0.327241335,0.056165204,0.257575758,0
3.70933E-4,34.021137181,0.329517132,0.055466879,0.257575758,0
